experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,ListTargetsAndObstacles
my_experiment,calm-dcc221d6-420c-4a04-b165-6f065cdcc8c1,1,1,1,1,2.026439,2.04,RandomTargetSpawner (ChildTargetTracker)
my_experiment,calm-dcc221d6-420c-4a04-b165-6f065cdcc8c1,1,2,2,1,8.040976,13.44275,RandomTargetSpawner (ChildTargetTracker)
